,zone,code,pitch_type,ab_id,b_count,s_count,outs,pitch_num,on_1b,on_2b,on_3b,batter_id,g_id,inning,pitcher_id,stand,top,home_team,start_time,weather,wind,pitch_height,pitch_width,FF_height,FF_width,CH_height,CH_width,SL_height,SL_width,FC_height,FC_width,CU_height,CU_width,run_dif,run_total,batter_score
21,4.0,0,FF,2015000642.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,501571,201500010,2,453286,R,True,1,4.15,76,"14 mph, Out to CF",0,1,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.10375275938189846
22,11.0,0,FF,2015000642.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,501571,201500010,2,453286,R,True,1,4.15,76,"14 mph, Out to CF",2,2,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0660377358490566
23,4.0,0,FF,2015000642.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,501571,201500010,2,453286,R,True,1,4.15,76,"14 mph, Out to CF",0,1,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.10375275938189846
24,5.0,0,SL,2015000642.0,1.0,2.0,1.0,4.0,0.0,0.0,0.0,501571,201500010,2,453286,R,True,1,4.15,76,"14 mph, Out to CF",0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.08994708994708994
25,8.0,0,FF,2015000643.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,518595,201500010,2,453286,R,True,1,4.15,76,"14 mph, Out to CF",-1,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.12177121771217712
26,1.0,0,FF,2015000643.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,518595,201500010,2,453286,R,True,1,4.15,76,"14 mph, Out to CF",1,1,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.060085836909871244
27,8.0,0,SL,2015000643.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,518595,201500010,2,453286,R,True,1,4.15,76,"14 mph, Out to CF",-1,0,0,0,0,0,-1,0,0,0,0,0,0.0,0.0,0.10919540229885058
28,7.0,0,FF,2015000647.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,527038,201500010,3,453286,R,True,1,4.15,76,"14 mph, Out to CF",-1,1,-1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.08717948717948718
29,6.0,0,FF,2015000647.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,527038,201500010,3,453286,R,True,1,4.15,76,"14 mph, Out to CF",0,-1,0,-1,0,0,0,0,0,0,0,0,0.0,0.0,0.12352941176470589
30,12.0,0,FF,2015000647.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,527038,201500010,3,453286,R,True,1,4.15,76,"14 mph, Out to CF",2,-2,2,-2,0,0,0,0,0,0,0,0,0.0,0.0,0.0594059405940594
31,2.0,0,FC,2015000648.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,112526,201500010,3,453286,R,True,1,4.15,76,"14 mph, Out to CF",1,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.058823529411764705
32,1.0,0,FF,2015000648.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,112526,201500010,3,453286,R,True,1,4.15,76,"14 mph, Out to CF",1,1,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.060085836909871244
33,6.0,0,FF,2015000649.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,434158,201500010,3,453286,L,True,1,4.15,76,"14 mph, Out to CF",0,1,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.1048951048951049
